#,STATUS,Location ID,Title,Address,ORGANIZATIONS,LAT,LONG,PROJECT_DESCRIPTION,PROJECT_DATE,END_DATE,Id,Source,URL,Slug
287,,33,"Gale and Boundary Creek - Culvert Replacement, UG-3",,WRIA9 Municipalities,47.26,-121.74,"Create fish passage facilities in the Howard Hanson Dam. Implement the Gale Creek and Boundary Creek culvert replacement projects together to access three miles of spawning and rearing habitat for Chinook and coho salmon, steelhead trout, and possibly bull trout. The projects include gravel supplementation to provide suitable spawning material and large woody debris placement in order to create resting pools and trap gravel.",2011-02-15T00:00:00,2015-01-01T00:00:00,09-DUW-016,"A:36, B:145",http://waconnect.paladinpanoramic.com/project/250/7540,Gale Creek
288,,34,Dandy Lake,,King Conservation District,47.5,-122.3,Acquire 41 acres of forest and all of Dandy Lake to protect them from Development,,,{{unlisted}},A:21,n/a,Dandy Lake
289,,35,Dandy/Bass/Beaver Lake Complex,,Middle Green River Coalition,47.5,-122.3,Improve and preserve existing water quality in the Dandy/Bass/Beaver Lake Complex. Add network of trails that connect lakes to Green River Gorge Greenway. ,,,{{unlisted}},A:22,n/a,Dandy/Bass/Beaver Lake Complex
290,,36,Dash Point State Park Pocket Estuary Restoration NS-16,,{{Unlisted}},47.5,122.3,,2011-06-01T00:00:00,2012-09-29T00:00:00,09-DUW-017,B:146,http://waconnect.paladinpanoramic.com/project/250/7545,Dash Point State Park Pocket Estuary Restoration NS-16
291,,37,"Dillworth Gorsuch Creek Pocket Estuaries Restoration, NS-8",,{{Unlisted}},47.5,122.3,,2015-01-01T00:00:00,2020-06-20T00:00:00,09-DUW-031,B:147,http://waconnect.paladinpanoramic.com/project/250/7550,"Dillworth Gorsuch Creek Pocket Estuaries Restoration, NS-8"
292,,38,Downey Farmstead Restoration Project,,{{Unlisted}},47.5,122.3,,2010-07-01T00:00:00,2017-07-01T00:00:00,09-DUW-032,B:148,http://waconnect.paladinpanoramic.com/project/250/19351,Downey Farmstead Restoration Project
293,,39,"Frager Road Lower Riparian Improvement, RM 19.5 - 18.0 (left bank), LG-20",,WRIA9 Municipalities,47.41,-122.27,Downey Farmstead. Realign and setback Frager Road from the Green River in order to reconnect the floodplain and create off-channel rearing and refuge habitat.,2010-01-01T00:00:00,2010-12-31T00:00:00,09-LG-010C,"A:23, B:166, B:149",http://waconnect.paladinpanoramic.com/project/250/17100,"Downey Farmstead, Frager Road"
294,??multiple,40,Duwamish Alive restoration,,Duwamish River Cleanup Coalition,47.49,-122.27,"Duwamish Alive! DRCC is a founding member of this coalition, which coordinates twice-yearly multi-site habitat restoration work parties in the Duwamish watershed.",2010-01-01T00:00:00,ongoing,09-LG-002,"A:74, B:150",http://waconnect.paladinpanoramic.com/project/250/16974,Duwamish Alive restoration
295,,41,Duwamish Diagonal,,King County Wastewater Treatment Division,47.5,-122.3,Duwamish/Diagonal sediment remediation project: isolated contaminated sediment near four outfall pipes on the Duwamish River. 66 thousand cubic yards of contaminated material was removed. Isolated any remaining contaminated sediment from the environment by building an isolating sediment cap.,,,{{unlisted}},A:24,n/a,Duwamish Diagonal
296,,42,Duwamish Gardens Shallow Water Habitat Creation at RM 7.0 DUW-1,,WRIA9 Municipalities,47.5,-122.29,"Duwamish Gardens Restoration. Purchase of 2.16 acres of property previously known as ""Duwamish Gardens"", a family farm, adjacent to the right bank of the Duwamish River. The new habitat will be created by excavating 55,000 cubic yards of material to establish approximately 2.0 acres of shallow water mudflat and marsh habitat and approximately 0.8 acre of uplands planted with native vegetation. The project will provide another viewpoint on the river across from the popular Green River Trail. The viewpoint will include interpretive signs on the pre-contact use, historical, and ecological features of the site.",2010-01-01T00:00:00,2010-12-31T00:00:00,09-LG-003,"A:25, B:151",http://waconnect.paladinpanoramic.com/project/250/12003,Duwamish Gardens
297,,43,Duwamish Hill Preserve,,Forterra,47.5,-122.3,"12.4 acre parcel of land, the Duwamish Hill Preserve, in Tukwila purchased and in active restoration since. Restoration included removal of invasive weeds and planting of native trees and shrubs.",,,{{unlisted}},A:26,n/a,Duwamish Hill Preserve
298,,44,Duwamish Riparian Restoration at RM 3.8-11.0,,{{Unlisted}},47.5,122.3,,2010-01-01T00:00:00,2010-12-31T00:00:00,09-LG-004,B:152,http://waconnect.paladinpanoramic.com/project/250/18900,Duwamish Riparian Restoration at RM 3.8-11.0
299,,45,Duwamish River Habitat Maintenance and Monitoring,,The Nature Consortium,47.57,-122.354763,Duwamish River Habitat Maintenance and Monitoring,,,{{unlisted}},A:27,n/a,Duwamish River Habitat Maintenance and Monitoring
300,,46,Duwamish Shallow Water Habitat Restoration Tier 2,,{{Unlisted}},47.5,122.3,,2010-01-01T00:00:00,2010-12-31T00:00:00,09-LG-005,B:153,http://waconnect.paladinpanoramic.com/project/250/13570,Duwamish Shallow Water Habitat Restoration Tier 2
301,,48,Duwamish Tier 1,,{{Unlisted}},47.5,122.3,,2010-06-01T00:00:00,2013-06-01T00:00:00,09-LG-007A,B:155,http://waconnect.paladinpanoramic.com/project/250/13569,Duwamish Tier 1
302,"**check, **dupe??",49,Early action sites,,EPA in partnership with the Natural Resource Trustees,47.5,-122.3,"Individual early action projects in the Lower Duwamish waterway are targeted for completion as follows: Slip 4, 2012; Terminal 117, 2014, Boeing Plant 2, 2015 ",,,{{unlisted}},A:28,n/a,Early action sites
303,,50,Elliot Bay,,WRIA9 Municipalities,47.5,-122.3,"Grants to seven projects including pre-project aquatic monitoring of Elliott Bay shoreline restoration at Olympic Sculpture Park, farm buffer restoration, John Beal citizen patrol of the Duwamish, citizen monitoring of lakes in Maple Valley, purchase of property on Hamm Creek, design of Kent park, natural yard care, agriculture land restoration, preparation to purchase Carosino property on the Duwamish, restoration of Miller/Walker Creek, and monitoring of Lake Sawyer",,,{{unlisted}},A:29,n/a,Elliot Bay
304,,51,"Ellis Creek Saltmarsh Protection and Restoration, NS-10",,King Conservation District,47.5,-122.3,Acquire 3 acres of forest and marsh (Ellis Creek Estuary Purchase) and restore/reconnect small marsh to .8 acre marsh/pocket estuary,2010-06-01T00:00:00,2016-06-01T00:00:00,09-LG-007B,"A:30, B:156",http://waconnect.paladinpanoramic.com/project/250/7557,Ellis Creek Estuary
305,,52,Evaluate how to improve habitat value of Raab's Lagoon NS-14,,{{Unlisted}},47.5,122.3,,2007-01-01T00:00:00,2012-12-31T00:00:00,09-LG-007B,B:157,http://waconnect.paladinpanoramic.com/project/250/9065,Evaluate how to improve habitat value of Raab's Lagoon NS-14
306,,53,Farm Buffer Restoration,,WRIA9 Municipalities,47.5,-122.3,"Grants to seven projects including pre-project aquatic monitoring of Elliott Bay shoreline restoration at Olympic Sculpture Park, farm buffer restoration, John Beal citizen patrol of the Duwamish, citizen monitoring of lakes in Maple Valley, purchase of property on Hamm Creek, design of Kent park, natural yard care, agriculture land restoration, preparation to purchase Carosino property on the Duwamish, restoration of Miller/Walker Creek, and monitoring of Lake Sawyer",,,{{unlisted}},A:31,n/a,Farm Buffer Restoration
307,,54,Fauntleroy Creek Instream and Riparian Restoration,,WA Dept. of Ecology,47.52,-122.39,"Fauntleroy Creek: Ecology produced a fecal coliform TMDL study for Fauntleroy Creek which identifies the pollution problems and specifies how much pollution needs to be reduced to achieve clean water. As a follow-up to the TMDL study, Ecology worked with the local community to prepare a water quality implementation plan that details the specific actions needed to reduce fecal coliform bacteria levels in Fauntleroy Creek. The plan describes management roles, activities, and schedules for partners.",2007-01-01T00:00:00,2014-12-31T00:00:00,09-LG-007C,"A:32, B:158",http://waconnect.paladinpanoramic.com/project/250/17072,Fauntleroy Creek
308,,55,"Feeder Bluff Protection Acquisition (Beaconsfield), NS-11",,Forterra,47.42,-122.35,"This project includes the purchase and restoration of one of the major privately-held undeveloped feeder bluffs along the mainland marine shoreline. Once the parcels are purchased, the bulkhead would be removed to allow for natural sediment beach feeding processes to occur. To the extent possible, the bulkhead would be removed to allow for natural sediment beach feeding processes to occur.",2006-01-01T00:00:00,2012-12-31T00:00:00,09-LG-007D,"A:33, B:159",http://waconnect.paladinpanoramic.com/project/250/14851,Feeder Bluffs
309,,56,"Feeder Bluff Restoration of Beach Feeding Processes (Beaconsfield), NS-11",,{{Unlisted}},47.41,-122.34,,2014-01-01T00:00:00,2016-12-31T00:00:00,09-LG-007E,B:160,http://waconnect.paladinpanoramic.com/project/250/8547,"Feeder Bluff Restoration of Beach Feeding Processes (Beaconsfield), NS-11"
310,,57,"Fenster Levee Removal and Setback, MG-18",,WRIA9 Municipalities,47.3,-122.2,"Fenster Levee Setback and Floodplain Restoration. Phase 1. Approximately 700 linear feet, including rock armoring, of the old Fenster Levee will be removed to form a low, vegetated bench and gently sloping river bank to provide shade and overhanging cover, better accommodate floodwater and attenuate floodwater velocities. LWD will be installed along the toe of the bank slope and on the vegetated bench to provide cover and hydraulic complexity. The riparian zone landward of the set back levee prism will also be densely planted with native riparian trees and shrubs to improve wildlife habitat and provide allochthonous inputs to the river. A relict channel that was partially filled decades ago when the property was in agricultural use will be excavated to provide off-channel habitat and reestablish floodplain connectivity. Phase 2. The City of Auburn will use this funding to reconnect the Green River (RM 32) with a portion of its historic floodplain. The project will a) remove up to 800 feet of the existing Fenster revetment berm, rock, and the associated gravel access road adjacent to the river channel; b) construct a new buried-toe revetment ‘setback levee’ approximately 300 feet landward of the river; and c) install flood fencing, control invasive riparian plant species and install native riparian plants.",2016-01-01T00:00:00,2017-01-01T00:00:00,09-LG-007F,"A:34, B:161",http://waconnect.paladinpanoramic.com/project/250/15803,Fenster Levee
311,,58,Fenwick Lake,,WA Dept. of Ecology,47.5,-122.3,"In 1991, a comprehensive lake and watershed management plan was proposed for Fenwick Lake under EPA's Clean Lakes Program. The proposal included a two-phased implementation approach to resolve the phosphorus issues in the lake. Implementation plans included monitoring to evaluate the effectiveness of the assigned load allocations for phosphorus, as well as other parameters. The second phase was scheduled to begin in December 1998. Based on these plans, EPA approved a total maximum daily load (TMDL) for Fenwick Lake in January 1993.",,,{{unlisted}},A:35,n/a,Fenwick Lake
312,,59,"Fish Passage Improvements on Vashon Island, NS-9",,{{Unlisted}},47.5,122.3,,2010-01-01T00:00:00,2015-01-01T00:00:00,09-LG-008,B:162,http://waconnect.paladinpanoramic.com/project/250/8558,"Fish Passage Improvements on Vashon Island, NS-9"
313,,60,"Flaming Geyser Floodplain Reconnection and Restoration, MG-3",,{{Unlisted}},47.5,122.3,,2010-01-01T00:00:00,2015-01-01T00:00:00,09-LG-009,B:163,http://waconnect.paladinpanoramic.com/project/250/8559,"Flaming Geyser Floodplain Reconnection and Restoration, MG-3"
314,,61,"Forest Road Improvements, UG-5",,{{Unlisted}},47.5,122.3,,2010-01-01T00:00:00,2010-12-31T00:00:00,09-LG-010A,B:164,http://waconnect.paladinpanoramic.com/project/250/8560,"Forest Road Improvements, UG-5"
315,,62,"Fort Dent Levee Setback, LG-17",,{{Unlisted}},47.5,122.3,,2017-01-01T00:00:00,2018-12-31T00:00:00,09-LG-010B,B:165,http://waconnect.paladinpanoramic.com/project/250/8561,"Fort Dent Levee Setback, LG-17"
316,,63,Functioning Nearshore Habitat Protection on Vashon Island NS-17,,{{Unlisted}},47.5,122.3,,2010-01-01T00:00:00,2010-12-31T00:00:00,09-LG-010D,B:167,http://waconnect.paladinpanoramic.com/project/250/8563,Functioning Nearshore Habitat Protection on Vashon Island NS-17
317,,64,Georgetown Community Park,,Forterra,47.5,-122.3,2 acres protected for neighborhood park at Georgetown Community Park,Protected since 2000,,{{unlisted}},A:37,n/a,Georgetown Community Park
318,**check,65,Georgetown Steam Plant,,Boeing,47.5,-122.3,,2009-2012,,{{unlisted}},A:38,n/a,Georgetown Steam Plant
319,,66,"Gilliam Creek Fish Passage and Riparian Improvements at RM 12.5, LG-16",,{{Unlisted}},47.46,-122.25,,2010-01-01T00:00:00,2010-12-31T00:00:00,09-LG-011,B:168,http://waconnect.paladinpanoramic.com/project/250/8565,"Gilliam Creek Fish Passage and Riparian Improvements at RM 12.5, LG-16"
320,,67,Grandmother's Hill Park,,King Conservation District,47.5,-122.3,"Purchase of riverfront property, Grandmother's Hill Park, in Tukwila for future restoration",,,{{unlisted}},A:39,n/a,Grandmother's Hill Park
321,??multiple,68,Green River bank stabilization,,King County DNR & Parks and subdivision WLRD,47.5,-122.3,"Green River bank stabilization and habitat restoration projects - many project have been conducted over the years along the Green/Duwamish rivers. Logs/large woody debris are installed along the rivers, levees repaired, levees set back.",,,{{unlisted}},"A:40, A:41",n/a,Green River bank stabilization
322,,69,Green River Knotweed Removal,,{{Unlisted}},47.27,-122.03,,2010-01-01T00:00:00,2011-12-31T00:00:00,09-LG-012,B:169,http://waconnect.paladinpanoramic.com/project/250/16970,Green River Knotweed Removal
323,??valid,70,Green River System-Wide Improvement Framework,,King County DNR & Parks and subdivision WLRD,47.5,-122.3,Green River System-Wide Improvement Framework - A SWIF is a US Army Corps-sanctioned process to achieve flood protection solutions that satisfy multiple federal mandates and legal requirements. The Green/Duwamish River watershed is come to salmon species listed under the ESA.,,,{{unlisted}},A:42,n/a,Green River System-Wide Improvement Framework
324,,71,Green/Duwamish Ecosystem Restoration Project,,King Conservation District,47.5,-122.3,Green/Duwamish Ecosystem Restoration Project: design for restoration projects; provided local match for projects with ACOE; construction began on first projects in 2004.,,,{{unlisted}},A:43,n/a,Green/Duwamish Ecosystem Restoration Project
325,,72,"Hamakami Levee Breach, MG-13",,{{Unlisted}},47.29,-122.15,,2010-01-01T00:00:00,2010-12-31T00:00:00,09-LG-013,B:170,http://waconnect.paladinpanoramic.com/project/250/8566,"Hamakami Levee Breach, MG-13"
326,**dupe??,73,Hamm Creek – 1,,WRIA9 Municipalities,47.5,-122.3,"Grants to seven projects including pre-project aquatic monitoring of Elliott Bay shoreline restoration at Olympic Sculpture Park, farm buffer restoration, John Beal citizen patrol of the Duwamish, citizen monitoring of lakes in Maple Valley, purchase of property on Hamm Creek, design of Kent park, natural yard care, agriculture land restoration, preparation to purchase Carosino property on the Duwamish, restoration of Miller/Walker Creek, and monitoring of Lake Sawyer",,,{{unlisted}},A:44,n/a,Hamm Creek – 1
327,**dupe??,74,Hamm Creek – 2,,King County Wastewater Treatment Division,47.5,-122.3,"Hamm Creek Habitat Restoration Project: 2,300 feet of new riparian stream bed and channel for Hamm Creek. A one-acre estuarine marsh was constructed. Together with the U.S. Army Corps of Engineers, from 1999 - 2000 King County created 2,300 feet of new riparian stream bed and channel for Hamm Creek. The Elliott Bay/Duwamish Restoration Program designed and monitored a one-acre estuarine marsh with fish-passable connection to the Duwamish Waterway. The enhanced freshwater Hamm Creek channel features meanders, fish pools, and large woody debris. The intertidal habitat was planted with native estuarine marsh vegetation in spring 2000.",,,{{unlisted}},A:45,n/a,Hamm Creek – 2
328,,75,"Hawley Revetment, LG-7",,{{Unlisted}},47.37,-122.25,,2010-01-01T00:00:00,2015-01-01T00:00:00,09-LG-015,B:171,http://waconnect.paladinpanoramic.com/project/250/8567,"Hawley Revetment, LG-7"
329,**dupe??,76,Herring's House,,King County Wastewater Treatment Division,47.5,-122.3,"Herring's House Park and Intertidal Habitat Restoration Proejct: Removal of mill structures, a shoreline dock, and contaminated sediments. A 1.8 acre intertidal bay was created, with fringing emergent vegetation in an intertidal zone. Riparian vegetation was also planted to create a riparian buffer.",,,{{unlisted}},"A:46, A:47",n/a,Herring's House
330,,77,Horsehead Bend Off-Channel Habitat Restoration at RM 26 LG-3,,{{Unlisted}},47.5,122.3,,2010-01-01T00:00:00,2010-12-31T00:00:00,09-LG-016,B:172,http://waconnect.paladinpanoramic.com/project/250/8613,Horsehead Bend Off-Channel Habitat Restoration at RM 26 LG-3
331,,78,"Horseneck Off-Channel Habitat Restoration at RM 25.9,  LG-4",,{{Unlisted}},47.5,122.3,,2011-01-01T00:00:00,2013-12-31T00:00:00,09-LG-017,B:173,http://waconnect.paladinpanoramic.com/project/250/8614,"Horseneck Off-Channel Habitat Restoration at RM 25.9,  LG-4"
332,,79,"Howard Hanson Dam Downstream Fish Passage Facility, UG-4",,{{Unlisted}},47.5,122.3,,2010-01-01T00:00:00,2011-12-31T00:00:00,09-LG-018,B:174,http://waconnect.paladinpanoramic.com/project/250/8615,"Howard Hanson Dam Downstream Fish Passage Facility, UG-4"
333,,80,Icy Creek Acquisition MG-20,,{{Unlisted}},47.28,-121.98,,2013-01-01T00:00:00,2015-12-31T00:00:00,09-LG-019,B:175,http://waconnect.paladinpanoramic.com/project/250/17098,Icy Creek Acquisition MG-20
334,,81,Inspection Sites,,"EPA, Ecology, City of Tukwila, King County, City of Seattle, Seattle Public Utilities",47.5,-122.3,"As part of Region 10's enforcement strategy, EPA will focus enforcement and compliance efforts on industrial stormwater discharges to the Lower Duwamish waterway. This will include source tracing activities, collaborative discussions with relevant agencies, and fine-tuning the Duwamish target list. EPA will conduct inspections and ensure appropriate follow-up enforcement.",,,{{unlisted}},A:48,n/a,Inspection Sites
335,,82,"Instream Habitat Improvement, UG-2",,{{Unlisted}},47.5,122.3,,0001-01-01T00:00:00,0001-01-01T00:00:00,09-LG-020,B:176,http://waconnect.paladinpanoramic.com/project/250/8616,"Instream Habitat Improvement, UG-2"
