"Title","Goal","1977 Neighborhood Plan","1995 Needs Assessment","1998 Neighborhood Plan","2007 Bicycle Master Plan","2007 Airport Way Visioning","2008 Duwamish Visioning","Status","Location","Maptype","Progress Detail","Challenges and barriers","Next Steps","Category","Study"
,"Acquire land around Slip 4 for park / public use","x",,,,,,"Complete",,"**Dupe – needs refinement",,,,"Parks and Open Space",
,"More parks along the river","x",,,,,"x","In Progress",,"**Needs research","A number of parks have been developed on the South Park side. ","Locating sites.",,"Parks and Open Space",
,"Stage for outdoor music",,,,,,"x","No Progress",,"**Needs research",,,,"Parks and Open Space",
,"Dog park (off leash area)",,,,,,"x","No Progress",,"**Needs research",,,,"Parks and Open Space",
,"Promote GT historic identity through appropriate streetscape improvements in the commercial area…historic street lighting, seating, hanging baskets, decorative brick paving.","x",,"x",,"x",,"In Progress",,"**Needs research, Polygon??","Georgetown Festival St. completed in 2015",,,"Historic Preservation",
,"Gateways","x","x","x",,"x",,"In Progress",,"**Needs research","Working on Welcome to Georgetown signs","Working with Seattle Design Center to get signs completed.","Continue to identify grant sources for additional gateway treatments","Historic Preservation",
,"Encourage landmarking, building re-use","x","x","x",,,,"In Progress",,"**Needs research","Inventory of structures done; Decided not to persue historic district designation.",,"Working with councilmember Rasmussen's office on his neighborhood conservation plans.","Historic Preservation",
"Main Street","""Main Street"" revitalization / attract investment","x","x","x",,,,"Complete","??Main Street??","**TBD","Airport way is revitalized",,"Identify other streets that could be revitalized","Historic Preservation",
"Oxbow Park","Hat and Boots preservation",,"x","x",,,,"Complete","Oxbow Park",,"Hat & Boots moved","Ongoing graffitti problem with Boots","Restoration of the Hat; repainting the Boots","Historic Preservation",
,"Create a Historic District",,"x",,,,,"Dead",,"**N/A","Decided not to persue this.",,,"Historic Preservation",
,"Tear down buildings beyond repair and replace with buildings that retain the ""Old Georgetown"" style","x",,,,,,"In Progress",,"**Needs research",,,,"Historic Preservation",
"Train station stop","Train station stop",,"x","x",,,"x","In Progress","Boeing Access Road","**Needs research","A Link stop at Boeing Access Road is included in initial study of Sound Transit 3 funding","One of many things being considered",,"Transportation",
"Railroad spur crossing on Corson Ave.","Safety gates at the railroad spur crossing on Corson",,,"x",,"x",,"No Progress","Railroad spur crossing on Corson Ave.","**Needs verification",,,"Reach out to Union Pacific","Transportation",
"Airport Way","Crosswalks on Airport Way",,,"x",,,,"In Progress","Stanly St. & Airport Way","**Needs research","Cross walk added at the new traffic light (Stanley and Airport)","Getting a pedestrian-operated light across Airport Way requires 200 people/hour. Not enough traffic to get city to install.","Provide red crossing flags for pedestrians.","Transportation",
,"Ped and bike connections with South Park and Beacon Hill. Connect GT with the urban trail system. ",,"x","x",,,"x","In Progress",,"**Dupe – needs refinement","Ellis has bike lane. Airport Way S has been identified for bike lanes. ","Current facilities don't connect to anywhere.","Work with SDOT to ensure the Bike Master Plan is implemented in Georgetown","Transportation",
"Georgetown Steam Plant","Pedestrian and bicycle connections to the GT Steam Plant",,,"x",,,,"In Progress","Georgetown Steam Plant","Line – multi","Seattle City Light is working with KCIA on this",,,"Transportation",
"Perimeter Road S.","Widen and improve access points to Perimeter Road S.",,,"x",,,,"No Progress","Perimeter Road S.","Line – multi",,,,"Transportation",
,"Signalization of 4th and Fidalgo",,,"x",,,,"Complete","4th Ave S. & Fidalgo St.","Line – multi??",,,,"Transportation",
"Orcas Traffic Control","Traffic control improvements along Orcas between 1st and 4th ",,,"x",,,,"No Progress","Orcas St. & 1st Ave","line",,,,"Transportation",
"Orcas Traffic Control","Traffic control improvements along Orcas between 1st and 4th ",,,"x",,,,"No Progress","Orcas St. & 4th ave","line",,,,"Transportation",
"6th Ave Improvements","Parking and pedestrian improvements along 6th Ave S.",,,"x",,,,"No Progress","6th ave S.","line",,,,"Transportation",
,"Metro transit improvements in Georgetown","x",,"x",,,"x","No Progress","Verify – vision data","Point – multi",,,,"Transportation",
,"Georgetown shuttle to connect key points with King County Airport",,,"x",,,,"No Progress",,"**TBD",,,,"Transportation",
"8th Ave South","Maintain sidewalk on 8th Ave S to allow peds to walk safely to the park",,,"x",,,,"In Progress","8th Ave South","Line – 8th ave S.","Project has stalled.","Industrial nature of 8th Ave difficult for pedestrians","Work with businesses and SDOT on this.","Transportation",
"Traffic Calming","Use traffic calming to protect residential streets","x","x","x",,,,"In Progress",,"page??","Traffic circles installed throughout the neighborhoos with Neighborhood Street Fund grants","Corgiat Mitigation not fully implemented on Corson","Neckdowns at Corson and Marginal; Ellis and Marginal; 12th and Vale","Transportation",
,"Evaluate spur railroad south of Lucile as a non-motorized corridor","x",,"x","x","x",,"No Progress",,"** Needs verification","Stalled","Funding and negotiating with the railroad","Contact SDOT to push the project forward; identify funding opportunities","Transportation",
,"New traffic signal at Carstens and Airport Way",,,,,"x",,"No Progress",,"point",,,,"Transportation",
,"New traffic signal at Nebraska and Airport Way",,,,,"x",,"No Progress",,"point",,,,"Transportation",
,"New traffic signal at Doris and Airport Way",,,,,"x",,"No Progress",,"point",,,,"Transportation",
,"Sidewalk, paving, curb, gutter, and drainage along Nebraska",,,,,"x",,"In Progress",,"line","Nebraska has been paved",,,"Transportation",
,"Narrow the intersection at Airport and 13th",,,,,"x",,"Complete",,"polygon",,,,"Transportation",
,"Convert Homer into a shared pedestrian and vehicle street ('woonerf')",,,,,"x",,"No Progress","Homer St.","line",,,,"Transportation",
,"New pedestrian activated signal at Homer and Airport",,,,,"x",,"No Progress","Homer St. & Airport","point",,,,"Transportation",
,"Bike sharrows on 1st Ave S from Marginal to Dawson",,,,"x",,,"No Progress","1st Ave S. between E, Marginal & Dawson","Line + point",,,,"Transportation",
,"Bike sharrows on 6th Ave S from River to Lucile",,,,"x",,,"No Progress","6th Ave S. between River st. & Lucille st.","Line + point",,,,"Transportation",
,"Bike sharrows on Harney",,,,"x",,,"No Progress","Harney St.","Line + point",,,,"Transportation",
,"Bike sharrows on Vale",,,,"x",,,"No Progress","Vale St.","Line + point",,,,"Transportation",
,"Road diet (rechannelize from 4 lanes to 3 lanes) and add bike lanes on Ellis and Albro",,,,"x",,,"Complete",,,,,,"Transportation",
,"Bike boulevard on Carleton Ave",,,,"x",,,"No Progress","Carlton Ave","Line + point",,,,"Transportation",
,"Bike/Ped pathway between Corson and 6th Ave S (between DOT and SSCC)",,,,"x",,,"No Progress","Corson St. & 6th Ave S.","Line + point",,,,"Transportation",
,"I-5 Bike/Ped pathway between Lucile and Holgate",,,,"x",,,"No Progress","Lucile & Holgate","Line + point",,,,"Transportation",
,"New pedestrian activated signal at River and Marginal",,,,"x",,,"No Progress","River St. & E. Marginal Way","point",,,,"Transportation",
,"New pedestrian activated signal at Vale and Corson",,,,"x",,,"No Progress","Vale St. & Corson Ave.","point",,,,"Transportation",
,"New pedestrian activated signal at Hardy and Airport",,,,"x",,,"No Progress","Hardy St. & Airport Way","point",,,,"Transportation",
,"Widen the planting strip on Corson and Ellis","x",,,,,,"In Progress",,,"Some depaving is happening on Corson",,,"Transportation",
,"Add stop lights along Airport Way and make more pedestrian friendly","x",,,,,,"In Progress",,,"Sidewalk in front of Fran's has been rebuilt",,,"Transportation",
,"Improved stop facility at Airport and 13th ","x",,,,,,"Complete","Airport and 13th ","point","Installed signal 2006 as part of I-5 rebuild mitigation",,,"Transportation",
,"Close the freeway exit at Corson and the entrance at Bailey - relocate to Lucile and Albro",,,,,,,"No Progress","Corson Ave & Baily St.","point",,,,,
,"Close the freeway exit at Corson and the entrance at Bailey - relocate to Lucile and Albro","x",,,,,,"No Progress","Lucile St. & Albro St.","point",,,,"Transportation",
,"Add freeway signage that identifies ""Georgetown"" in the Corson/Michigan exit","x",,,,,,"No Progress","Corson Ave. & ??","point",,,,"Transportation",
,"Rehabilitate the Lucile St bridge","x",,,,,,"Complete",,,"Reconstructed @1979",,,"Transportation",
,"More marinas along the Duwamish",,,,,,"x","No Progress",,"Verify – vision data",,,,"Transportation",
,"Water taxis as public transportation along the river",,,,,,"x","No Progress",,"Verify – vision data",,,,"Transportation",
,"Pedestrian bridge across the river linking to South Park",,,,,,"x","No Progress",,"Verify – vision data",,,,"Transportation",
,"Community Policing, storefront presence",,,"x",,,,"In Progress",,"**Needs research","KC Sexual Assault Services maintains a full time presence at Stevenson; Georgetown Guardians organized to oversee sex offender housing; regular updates from the community police officer at our monthly meetings and on our list serve; Nighttime safety walks; neighborhood block watches organized; Georgetown Night Out established in 2008","All progress cut doe to lack of fundings.","Reestablish KSARC program.","Safety",
,"Create a West Seattle Precinct",,,"x",,,,"Complete",,"**TBD","Southwest precinct created - Georgetown now in South Precinct",,,"Safety",
,"Improve Alley Lighting",,,"x",,,,"In Progress",,"Point – multi","City now mantaining lights on a rotation, not on a complaint basis.",,,"Safety",
,"New lights in Hot-spots",,,"x",,,,"No Progress",,"Point – multi",,,"Identify what the hot spots are - Oxbow Park?  Hat n Boots?","Safety",
,"Pedestrian safety signage in alleys",,,"x",,,,"No Progress",,"Point – multi",,,,"Safety",
,"Evaluate area around hotels",,,"x",,,,"In Progress",,"Polygon – multi","SPD regularly checks the hotels for criminal activity","It’s a difficult situation. Constant vigilance is necessary.",,"Safety",
,"Abatement of Nuisance Hotels",,,"x",,,,"In Progress",,"Polygon – multi","Some motels have changed hands; Anecdotal evidence that prostitution and drug use at the hotels in decline.",,,"Land Use",
,"Landlord Training",,,"x",,,,"Complete",,"page","Training Programs offered and publicized","Reaching out to landlords to attend",,"Land Use",
,"Neighborhood Anchor Designation",,,"x",,,,"Complete",,"page","Designation is no longer a thing",,,"Land Use",
,"Town center or urban village designation",,,,,,"x","Dead",,"**TBD","No longer a neighborhood goal",,,"Land Use",
,"Preserve Residential Zoned Lands","x","x","x",,,"x","In Progress","**Verify – vision data","Verify – vision data","GCC Land Use Committee working on creation of a Conservation District; submitting applications for landmarks; and adopting Design Guidelines for new development  ",,"Land Use Committee to take recommendations to full Council","Land Use",
,"Provide incentives for development that exceeds the industrial buffering requirements…density bonuses, design departures, transfer of development rights, in exchange for more sensitive treatment of the buffer.",,,"x",,,,"No Progress",,"point",,"New Industrial Zoning legislation contradicts this goal","Advocate for rezoning from IG2 to IB and mixed use zoning as appropriate in the areas immediately around the residential and retail core","Land Use",
,"Remove the IB zoning designation from the GT Playfield…rezone as residential.",,,"x",,,,"No Progress","Georgetown Playfield","polygon",,,"Advocate for rezoning as part of the Stakeholder Group of Industrial Lands legislation","Land Use",
,"Redefine land use code to address high-impact uses with the intent of creating specific standards relative to proximity to residential areas.",,,"x",,,,"No Progress","**TBD","point",,"New Industrial Zoning legislation contradicts this goal",,"Land Use",
,"Preserve the Duwamish shoreline for maritime uses","x",,"x",,,"x","No Progress","**Verify – vision data","Polygon – multi","It's in the Comp Plan",,,"Land Use",
,"Rezone the ""Triangle"" (Bailey, Corson, Airport) from industrial to mixed use","x","x",,,,,"No Progress","Baily St. & Corson Ave & Airport Way","polygon",,,,"Land Use",
,"Rezone an area near the river to allow parks and residential","x",,,,,,"No Progress","**Needs research","polygon",,,,"Land Use",
,"Encourage live/work spaces",,"x",,,,,"In Progress","**TBD","Point – multi",,,,"Land Use",
,"Increase the residential population in some areas to support retail and public services ","x",,,,,,"In Progress","**TBD","Polygon – multi",,,,"Land Use",
,"Encourage residential infill development on vacant land","x",,,,,,"In Progress","**Needs research","Polygon – multi",,,,"Land Use",
,"Encourage the development of affordable housing","x",,,,,,"In Progress","**Needs research","Polygon – multi",,,,"Land Use",
,"Adopt neighborhood design guidelines","x",,,,,,"No Progress","**Needs research","Point – multi",,,,"Land Use",
,"Turn warehouse district into affordable/fixed rate/artist’s/co-op housing and residential area",,,,,,"x","No Progress","**Needs research","Verify – vision data",,,,"Land Use",
